NWE_02x02
----------------------------------------------------------------------------------------------------------------
Global distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
       i       j     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec  
      38       2       4       4       5       5       1       1       1       1       1       2       3       4
      39       2       4       4       5       5       1       1       1       1       1       2       3       4
      40       2       4       4       5       5       1       1       1       1       1       2       3       4
      41       2       4       4       5       5       1       1       1       1       1       2       3       4
      42       2       4       4       5       5       1       1       1       1       1       2       3       4
      43       2       4       4       5       5       1       1       1       1       1       2       3       4
      44       2       4       4       5       5       1       1       1       1       1       2       3       4
      45       2       4       4       5       5       1       1       1       1       1       2       3       4
      46       2       4       4       5       5       1       1       1       1       1       2       3       4
      47       2       4       4       5       5       1       1       1       1       1       2       3       4
      48       2       4       4       5       5       1       1       1       1       1       2       3       4
      49       2       4       4       5       5       1       1       1       1       1       2       3       4
      50       2       4       4       5       5       1       1       1       1       1       2       3       4
      51       2       4       4       5       5       1       1       1       1       1       2       3       4
      52       2       4       4       5       5       1       1       1       1       1       2       3       4
      53       2       4       4       5       5       1       1       1       1       1       2       3       4
      54       2       4       4       5       5       1       1       1       1       1       2       3       4
      55       2       4       4       5       5       1       1       1       1       1       2       3       4
      56       2       4       4       5       5       1       1       1       1       1       2       3       4
      57       2       4       4       5       5       1       1       1       1       1       2       3       4
      58       2       4       4       5       5       1       1       1       1       1       2       3       4
      59       2       4       4       5       5       1       1       1       1       1       2       3       4
      60       2       4       4       5       5       1       1       1       1       1       2       3       4
      61       2       4       4       5       5       1       1       1       1       1       2       3       4
      62       2       4       4       5       5       1       1       1       1       1       2       3       4
      63       2       4       4       5       5       1       1       1       1       1       2       3       4
      64       2       4       4       5       5       1       1       1       1       1       2       3       4
      65       2       4       4       5       5       1       1       1       1       1       2       3       4
      66       2       4       4       5       5       1       1       1       1       1       2       3       4
      67       2       4       4       5       5       5       1       1       1       1       2       3       4
      68       2       4       4       5       5       5       1       1       1       1       2       3       4
      69       2       4       4       4       5       5       1       1       1       1       2       3       4
      70       2       4       4       4       5       5       1       1       1       1       2       3       4
      71       2       4       4       4       5       5       1       1       1       1       2       3       4
      72       2       4       4       4       5       5       1       1       1       1       2       3       4
      73       2       4       4       4       5       5       1       1       1       1       2       3       4
      74       2       4       4       4       5       5       1       1       1       1       2       3       4
      75       2       4       4       4       5       5       1       1       1       1       2       3       4
      76       2       4       4       4       5       5       1       1       1       1       2       3       4
      77       2       4       4       4       5       5       1       1       1       1       2       3       4
      78       2       4       4       4       5       5       1       1       1       1       2       3       4
      79       2       4       4       4       5       5       1       1       1       1       2       3       4
      80       2       4       4       4       5       5       1       1       1       1       2       3       4
      81       2       4       4       4       5       5       1       1       1       1       2       3       4
      82       2       4       4       4       5       5       1       1       1       1       2       3       4
      83       2       4       4       4       5       5       1       1       1       1       2       3       4
      84       2       4       4       4       5       5       1       1       1       1       3       3       4
      85       2       4       4       4       5       5       1       1       1       1       3       3       4
      86       2       4       4       4       5       5       1       1       1       2       3       3       4
      87       2       4       4       4       5       5       1       1       1       2       3       4       4
      88       2       4       4       4       5       5       1       1       1       2       3       4       4
      89       2       4       4       4       5       5       1       1       1       2       3       4       4
      90       2       4       4       4       5       5       1       1       1       2       3       4       4
      91       2       4       4       4       5       5       1       1       1       2       3       4       4
      92       2       4       4       4       5       5       1       1       1       2       3       4       4
      93       2       4       4       4       5       5       1       1       1       2       3       4       4
      94       2       4       4       4       5       5       1       1       1       2       3       4       4
      95       2       4       4       4       5       5       1       1       1       2       3       4       4
      96       2       4       4       4       5       5       1       1       1       2       3       4       4
      97       2       4       4       4       5       5       1       1       1       2       3       4       4
      98       2       4       4       4       5       5       1       1       1       2       3       4       4
      99       2       4       4       4       5       5       1       1       1       2       3       4       4
     100       2       4       4       4       5       5       1       1       1       2       3       4       4
     101       2       4       4       4       5       5       1       1       1       2       3       4       4
     102       2       4       4       4       5       5       1       1       1       2       3       4       4
     103       2       4       4       4       5       5       1       1       1       2       3       4       4
     104       2       4       4       4       5       5       1       1       1       2       3       4       4
     105       2       4       4       4       5       5       1       1       1       2       3       4       4
     106       2       4       4       4       5       5       1       1       1       2       3       4       4
     107       2       4       4       4       5       5       1       1       1       2       3       4       4
     108       2       4       4       4       5       5       1       1       1       2       3       4       4
     109       2       4       4       4       5       5       1       1       1       2       3       4       4
     110       2       4       4       4       5       5       1       1       1       2       3       4       4
     111       2       4       4       4       5       5       5       1       1       2       3       4       4
     112       2       4       4       4       5       5       5       1       1       2       3       4       4
     113       2       4       4       4       5       5       5       1       1       2       3       4       4
     114       2       4       4       4       5       5       5       1       1       2       3       4       4
     115       2       4       4       4       5       5       5       1       1       2       3       4       4
     116       2       4       4       4       5       5       5       1       1       2       3       4       4
     117       2       4       4       4       5       5       5       1       1       2       3       4       4
     118       2       4       4       4       5       5       5       1       1       2       3       4       4
     119       2       4       4       4       5       5       5       1       1       2       3       4       4
     120       2       4       4       4       4       5       5       1       1       2       3       4       4
     121       2       4       4       4       4       5       5       1       1       2       3       4       4
     122       2       4       4       4       4       5       5       1       1       2       3       4       4
     123       2       4       4       4       4       5       5       1       2       2       3       4       4
     124       2       4       4       4       4       5       5       1       2       2       3       4       4
     125       2       4       4       4       4       5       5       1       2       2       3       4       4
     126       2       4       4       4       4       5       5       1       2       2       3       4       4
     127       2       4       4       4       4       5       5       1       2       2       3       4       4
     128       2       4       4       4       4       5       5       1       2       2       3       4       4
     129       2       4       4       4       4       5       5       1       2       2       3       4       4
     130       2       4       4       4       4       5       5       1       2       2       3       4       4
     131       2       4       4       4       4       5       5       1       2       2       3       4       4
     132       2       4       4       4       4       5       5       1       2       2       3       4       4
     133       2       4       4       4       4       5       5       2       2       2       3       4       4
     134       2       4       4       4       4       5       5       2       2       2       3       4       4
     135       2       4       4       4       4       5       5       2       2       2       3       4       4
     136       2       4       4       4       4       5       5       2       2       2       3       4       4
     137       2       4       4       4       4       5       5       2       2       2       3       4       4
     138       2       4       4       4       4       5       5       2       2       2       3       4       4
     139       2       4       4       4       4       5       5       2       2       2       3       4       4
     140       2       4       4       4       4       5       5       2       2       3       3       4       4
     141       2       4       4       4       4       5       5       2       2       3       3       4       4
     142       2       4       4       4       4       5       5       2       2       3       3       4       4
     143       2       4       4       4       4       5       5       2       2       3       4       4       4
     144       2       4       4       4       4       5       5       2       2       3       4       4       4
     145       2       4       4       4       4       5       5       2       2       3       4       4       4
     146       2       4       4       4       4       5       5       2       2       3       4       4       4
     147       2       4       4       4       4       5       5       2       2       3       4       4       4
     148       2       4       4       4       4       5       5       2       2       3       4       4       4
     149       2       4       4       4       4       5       5       2       2       3       4       4       4
     150       2       4       4       4       4       5       5       2       2       3       4       4       4
     151       2       4       4       4       4       5       5       2       2       3       4       4       4
     152       2       4       4       4       4       5       5       2       2       3       4       4       4
     153       2       4       4       4       4       5       5       2       2       3       4       4       4
     154       2       4       4       4       4       5       5       2       2       3       4       4       4
     155       2       4       4       4       4       5       5       2       2       3       4       4       4
     156       2       4       4       4       4       5       5       2       2       3       4       4       4
     157       2       4       4       4       4       5       5       2       2       3       4       4       4
     158       2       4       4       4       4       5       5       2       2       3       4       4       4
     159       2       4       4       4       4       5       5       2       2       3       4       4       4
     160       2       4       4       4       4       5       5       2       2       3       4       4       4
     161       2       4       4       4       4       5       5       2       2       3       4       4       4
     162       2       4       4       4       4       5       5       2       2       3       4       4       4
     163       2       4       4       4       4       5       5       2       2       3       4       4       4
     164       2       4       4       4       4       5       5       2       2       3       4       4       4
     165       2       4       4       4       4       5       5       2       2       3       4       4       4
     166       2       4       4       4       4       5       5       2       2       3       4       4       4
     167       2       4       4       4       4       5       5       2       2       3       4       4       4
     168       2       4       4       4       4       5       5       2       2       3       4       4       4
     169       2       4       4       4       4       5       5       2       2       3       4       4       4
     170       2       4       4       4       4       5       5       2       2       3       4       4       4
     171       2       4       4       4       4       5       5       2       2       3       4       4       4
     172       2       4       4       4       4       5       5       2       2       3       4       4       4
     173       2       4       4       4       4       5       5       2       2       3       4       4       4
     174       2       4       4       4       4       5       5       2       2       3       4       4       4
     175       2       4       4       4       4       5       5       2       2       3       4       4       4
     176       2       4       4       4       4       5       5       2       2       3       4       4       4
     177       2       4       4       4       4       5       5       2       3       3       4       4       4
